,AGE,,,,,,SEX,,,EDUCATIONAL ATTAINMENT,,,,,,,,,,POVERTY STATUS,,,,HOUSEHOLD INCOME (IN 2021 INFLATION-ADJUSTED DOLLARS),,
Tract,,Total,18 to 29 years,30 to 44 years,45 to 64 years,65 years and over,,Male,Female,,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,High school degree or higher,Bachelor's degree or higher,,"Total Citizens, 18 years and older, for whom poverty status is determined",Income in the past 12 months below poverty level,Income in the past 12 months at or above the poverty level,,"Median Household Income for Households with a Citizen, Voting-Age Householder",
101.01,,1457,245,476,300,436,,720,737,,96,24,155,138,86,650,308,1337,958,,1457,213,1244,,62941,
101.02,,1338,281,327,343,387,,533,805,,161,42,108,366,163,197,301,1135,498,,1338,146,1192,,29275,
102.01,,2254,589,683,538,444,,1115,1139,,51,0,100,301,36,1022,744,2203,1766,,2254,143,2111,,165302,
102.02,,1742,368,694,337,343,,881,861,,36,0,23,169,40,876,598,1706,1474,,1742,105,1637,,190938,
103,,3615,749,933,1144,789,,1905,1710,,123,20,343,297,160,1627,1045,3472,2672,,3615,157,3458,,136675,
104.01,,1609,247,617,512,233,,833,776,,53,8,174,140,22,638,574,1548,1212,,1609,208,1401,,115341,
104.02,,1856,290,530,618,418,,1021,835,,140,23,14,156,71,908,544,1693,1452,,1856,84,1772,,218521,
105,,2356,379,453,664,860,,1190,1166,,55,64,304,218,64,710,941,2237,1651,,2356,337,2019,,155913,
106,,2498,737,507,621,633,,1484,1014,,269,142,225,646,52,876,288,2087,1164,,2498,296,2202,,53063,
107.01,,2206,343,152,601,1110,,740,1466,,953,295,417,131,33,263,114,958,377,,2206,695,1511,,19898,
107.02,,1161,198,434,288,241,,346,815,,103,37,149,209,96,352,215,1021,567,,1161,126,1035,,74010,
108,,4381,858,1553,845,1125,,2278,2103,,424,135,373,247,222,1799,1181,3822,2980,,4381,474,3907,,112262,
109.01,,1558,573,350,356,279,,613,945,,33,0,91,71,40,758,565,1525,1323,,1558,127,1431,,153023,
109.02,,2123,671,622,270,560,,925,1198,,86,67,212,162,17,1020,559,1970,1579,,2123,169,1954,,126180,
110.01,,2162,462,810,498,392,,983,1179,,71,120,221,193,39,877,641,1971,1518,,2162,212,1950,,108500,
110.02,,1880,334,672,574,300,,955,925,,217,86,383,191,37,675,291,1577,966,,1880,208,1672,,128036,
111.01,,2202,407,729,476,590,,1096,1106,,258,148,171,230,48,903,444,1796,1347,,2202,199,2003,,111081,
111.02,,1353,206,506,292,349,,747,606,,161,1,132,145,126,586,202,1191,788,,1318,239,1079,,77615,
112,,2567,654,669,687,557,,1322,1245,,49,42,233,325,73,1118,727,2476,1845,,2567,190,2377,,137368,
113,,1998,406,367,433,792,,909,1089,,496,225,255,133,172,490,227,1277,717,,1966,480,1486,,43438,
117,,1217,139,431,389,258,,666,551,,110,80,66,196,11,467,287,1027,754,,1173,192,981,,101898,
118,,1074,216,265,255,338,,476,598,,206,130,211,72,45,231,179,738,410,,1074,254,820,,40393,
119.01,,1769,424,536,496,313,,1036,733,,25,39,129,390,147,708,331,1705,1039,,1613,129,1484,,99185,
119.02,,2343,557,750,477,559,,1084,1259,,318,5,234,294,115,913,464,2020,1377,,2343,190,2153,,76844,
120.01,,1561,356,468,555,182,,1019,542,,31,19,49,370,215,588,289,1511,877,,1536,195,1341,,68340,
120.02,,1656,470,701,401,84,,1057,599,,104,11,207,282,45,798,209,1541,1007,,1656,270,1386,,83348,
121,,3138,1111,1326,478,223,,1654,1484,,81,10,420,480,217,1508,422,3047,1930,,2758,392,2366,,92313,
122.02,,2159,239,663,788,469,,1404,755,,29,141,544,625,123,496,201,1989,697,,2159,673,1486,,43643,
122.03,,1495,28,801,379,287,,1085,410,,238,82,175,426,17,346,211,1175,557,,1495,731,764,,30375,
122.04,,2039,595,573,541,330,,1062,977,,91,122,179,417,235,770,225,1826,995,,2039,298,1741,,57929,
123.01,,1220,54,297,480,389,,690,530,,218,155,162,313,149,113,110,847,223,,1220,422,798,,22298,
123.02,,1871,432,631,553,255,,1020,851,,39,93,277,502,114,596,250,1739,846,,1871,418,1453,,47000,
124.03,,1360,336,225,473,326,,739,621,,126,206,324,274,0,326,104,1028,430,,1360,334,1026,,26493,
124.04,,1884,155,492,868,369,,1200,684,,67,307,481,283,350,285,111,1510,396,,1884,562,1322,,24681,
124.05,,2713,788,1280,467,178,,1552,1161,,36,63,256,216,65,1398,679,2614,2077,,2427,283,2144,,116546,
124.06,,1235,223,206,519,287,,595,640,,57,52,314,63,240,289,220,1126,509,,1235,263,972,,31065,
125.02,,2629,377,547,724,981,,1712,917,,430,215,783,717,136,234,114,1984,348,,2446,781,1665,,19072,
125.03,,2080,437,323,970,350,,1140,940,,39,247,739,552,76,345,82,1794,427,,2000,470,1530,,29830,
125.04,,521,14,42,175,290,,264,257,,230,116,0,70,25,80,0,175,80,,521,119,402,,22911,
126.01,,1759,528,650,395,186,,712,1047,,10,10,35,63,86,1020,535,1739,1555,,1759,85,1674,,164427,
126.02,,2243,666,837,493,247,,978,1265,,48,11,84,182,61,1279,578,2184,1857,,2243,81,2162,,200750,
127,,3516,762,1342,961,451,,1660,1856,,21,0,112,255,170,1720,1238,3495,2958,,3516,196,3320,,217194,
128.01,,1825,342,558,442,483,,751,1074,,36,39,58,85,28,919,660,1750,1579,,1825,32,1793,,221098,
128.02,,1424,706,362,202,154,,860,564,,0,0,17,105,0,884,418,1424,1302,,1424,29,1395,,222364,
129.01,,2041,598,856,390,197,,960,1081,,13,1,99,33,47,1112,736,2027,1848,,2039,84,1955,,200852,
129.02,,3118,1061,1044,496,517,,1260,1858,,0,0,338,332,47,1793,608,3118,2401,,3051,59,2992,,179167,
130.01,,1537,539,560,267,171,,791,746,,0,0,55,96,18,1072,296,1537,1368,,1537,134,1403,,147308,
130.02,,2147,678,898,394,177,,820,1327,,0,8,0,67,43,1407,622,2139,2029,,2147,123,2024,,191736,
131.01,,3229,913,1341,641,334,,1467,1762,,39,15,104,301,145,1626,999,3175,2625,,3163,83,3080,,218235,
131.02,,2325,408,1067,459,391,,1005,1320,,0,0,80,228,11,999,1007,2325,2006,,2287,72,2215,,232880,
132,,3453,623,765,1187,878,,1822,1631,,52,0,37,242,153,1647,1322,3401,2969,,3433,168,3265,,199191,
133,,3371,588,718,1048,1017,,1529,1842,,147,43,213,258,38,1493,1179,3181,2672,,3350,363,2987,,174239,
134.01,,1240,255,492,270,223,,467,773,,4,0,24,67,113,475,557,1236,1032,,1208,59,1149,,183450,
134.02,,1886,372,433,637,444,,861,1025,,0,0,20,103,71,868,824,1886,1692,,1886,20,1866,,176000,
135,,2067,376,719,638,334,,915,1152,,0,17,131,95,77,1039,708,2050,1747,,2067,124,1943,,142050,
151,,2291,439,707,472,673,,1011,1280,,21,23,102,259,35,1173,678,2247,1851,,2273,211,2062,,123315,
152.01,,1401,149,480,288,484,,701,700,,156,31,110,187,46,421,450,1214,871,,1401,285,1116,,72759,
152.02,,1889,377,683,409,420,,1075,814,,34,5,219,476,62,591,502,1850,1093,,1811,168,1643,,158056,
153,,1817,502,594,417,304,,1043,774,,79,45,64,127,85,957,460,1693,1417,,1710,75,1635,,164893,
154.01,,2590,614,808,574,594,,1346,1244,,0,7,64,259,187,1437,636,2583,2073,,2590,207,2383,,117885,
154.02,,1950,206,914,553,277,,795,1155,,0,16,16,277,21,990,630,1934,1620,,1950,12,1938,,182106,
155,,3254,563,738,564,1389,,1488,1766,,122,63,481,471,149,1148,820,3069,1968,,3218,495,2723,,79906,
156,,2412,428,504,679,801,,1141,1271,,142,69,189,383,81,979,569,2201,1548,,2412,352,2060,,78250,
157.01,,4409,2843,714,542,310,,1835,2574,,37,49,795,1496,190,1402,440,4323,1842,,2663,313,2350,,126791,
157.02,,2669,485,1222,667,295,,1473,1196,,0,39,170,231,10,1297,922,2630,2219,,2667,67,2600,,193077,
158.01,,2607,511,767,715,614,,1308,1299,,183,241,407,453,150,795,378,2183,1173,,2607,529,2078,,113911,
158.02,,3094,977,1226,587,304,,1709,1385,,14,77,191,284,94,1460,974,3003,2434,,3094,462,2632,,143233,
159,,3164,746,650,975,793,,1689,1475,,86,126,318,418,111,1520,585,2952,2105,,3104,375,2729,,117750,
160,,1963,235,605,507,616,,972,991,,44,38,129,234,218,570,730,1881,1300,,1963,327,1636,,112014,
161.01,,1861,359,325,346,831,,795,1066,,0,162,294,482,11,454,458,1699,912,,1861,544,1317,,25041,
161.02,,1784,267,328,589,600,,800,984,,181,318,498,404,42,176,165,1285,341,,1784,828,956,,21388,
162,,2748,803,980,699,266,,1742,1006,,0,70,513,300,61,1033,771,2678,1804,,2748,291,2457,,144803,
163,,3316,689,1125,1085,417,,1662,1654,,18,163,265,346,190,1254,1080,3135,2334,,3316,382,2934,,125313,
164,,3444,960,1438,742,304,,1759,1685,,36,39,269,528,57,1740,775,3369,2515,,3291,273,3018,,183810,
165,,4300,1269,1754,719,558,,2003,2297,,213,173,165,529,87,2059,1074,3914,3133,,4111,589,3522,,151484,
166.01,,2592,626,1122,468,376,,1571,1021,,17,118,200,284,62,1410,501,2457,1911,,2592,318,2274,,164750,
166.02,,2113,854,909,299,51,,1247,866,,0,25,72,175,60,1347,434,2088,1781,,2113,154,1959,,193219,
167,,4753,1304,2154,958,337,,2779,1974,,0,30,135,453,241,2313,1581,4723,3894,,4753,212,4541,,217841,
168.01,,3361,652,1624,845,240,,2062,1299,,12,55,171,341,184,1711,887,3294,2598,,3361,250,3111,,159318,
168.02,,3042,815,1194,743,290,,1502,1540,,0,89,293,708,102,1055,795,2953,1850,,3042,325,2717,,89602,
169,,2479,437,965,825,252,,1613,866,,21,16,198,270,117,1087,770,2442,1857,,2460,207,2253,,140345,
170,,3641,245,1476,1333,587,,2347,1294,,33,7,250,264,19,1689,1379,3601,3068,,3641,143,3498,,228952,
171.01,,3144,405,1415,845,479,,1681,1463,,24,60,80,258,120,1342,1260,3060,2602,,3144,163,2981,,178894,
171.02,,2656,597,996,701,362,,1230,1426,,3,59,152,292,52,1186,912,2594,2098,,2655,163,2492,,178016,
176.02,,2559,642,856,881,180,,1698,861,,30,242,353,806,160,838,130,2287,968,,2559,396,2163,,52250,
176.03,,3175,480,1306,982,407,,1811,1364,,15,27,487,880,71,1073,622,3133,1695,,3138,545,2593,,82827,
176.04,,2128,705,703,602,118,,1579,549,,32,123,373,367,233,724,276,1973,1000,,2128,269,1859,,65343,
177,,1462,227,707,422,106,,854,608,,27,22,129,191,81,637,375,1413,1012,,1462,68,1394,,155893,
178.01,,2999,236,519,604,1640,,1426,1573,,588,292,302,489,74,723,531,2119,1254,,2999,652,2347,,26362,
178.03,,1319,294,543,346,136,,961,358,,49,34,236,212,90,482,216,1236,698,,1319,180,1139,,83304,
178.04,,2914,739,1259,705,211,,1592,1322,,40,38,94,325,170,1524,723,2836,2247,,2914,284,2630,,136939,
179.03,,2004,1004,619,303,78,,1115,889,,5,202,635,515,99,482,66,1797,548,,2004,940,1064,,87542,
180,,2748,680,1043,812,213,,1739,1009,,12,109,377,443,80,1043,684,2627,1727,,2549,558,1991,,178125,
201.01,,2493,338,1153,779,223,,1441,1052,,81,29,347,173,115,1247,501,2383,1748,,2493,344,2149,,102917,
201.02,,2224,268,840,860,256,,1524,700,,234,120,299,365,130,657,419,1870,1076,,2224,520,1704,,53300,
202.01,,1644,309,703,428,204,,947,697,,65,92,126,87,82,713,479,1487,1192,,1644,222,1422,,144276,
202.02,,3288,1093,899,868,428,,1839,1449,,24,47,565,262,263,1672,455,3217,2127,,3288,580,2708,,138309,
203,,3076,507,1159,1100,310,,1989,1087,,63,50,130,298,52,1396,1087,2963,2483,,3076,235,2841,,183068,
204.01,,2716,410,762,1222,322,,1689,1027,,10,20,131,259,143,1361,792,2686,2153,,2716,87,2629,,157206,
204.02,,3664,819,1032,1138,675,,2316,1348,,17,0,265,494,224,1742,922,3647,2664,,3664,329,3335,,126897,
205,,2301,197,864,940,300,,1631,670,,0,25,141,265,89,760,1021,2276,1781,,2282,96,2186,,236719,
206.01,,2602,306,777,1224,295,,1813,789,,117,20,122,402,112,983,846,2465,1829,,2602,176,2426,,148365,
206.02,,2211,333,529,843,506,,1263,948,,6,25,14,179,21,1001,965,2180,1966,,2211,178,2033,,148828,
207.01,,2422,247,1014,1017,144,,1177,1245,,0,13,43,111,26,1196,1033,2409,2229,,2422,166,2256,,250000,
207.02,,1593,206,675,398,314,,813,780,,67,0,134,205,81,709,397,1526,1106,,1593,175,1418,,96786,
208.01,,2528,741,787,668,332,,1319,1209,,271,181,193,315,54,992,522,2076,1514,,2528,278,2250,,86964,
208.02,,2100,1007,628,354,111,,1434,666,,0,139,173,249,0,979,560,1961,1539,,2100,217,1883,,132674,
209,,2938,614,1244,699,381,,1382,1556,,122,184,157,400,89,1326,660,2632,1986,,2938,392,2546,,119851,
210,,3210,570,1297,792,551,,1695,1515,,80,8,164,370,206,1427,955,3122,2382,,3210,250,2960,,156375,
211,,2859,465,927,930,537,,1539,1320,,17,10,246,174,36,1247,1129,2832,2376,,2859,93,2766,,194875,
212,,2289,327,797,721,444,,1242,1047,,0,24,78,353,61,846,927,2265,1773,,2286,48,2238,,173190,
213,,1861,141,740,638,342,,1139,722,,28,0,106,230,35,916,546,1833,1462,,1861,105,1756,,167787,
214,,2962,475,1092,805,590,,1580,1382,,30,39,185,297,259,1095,1057,2893,2152,,2962,226,2736,,198485,
215,,4378,655,1914,1427,382,,2099,2279,,82,79,329,361,202,1444,1881,4217,3325,,4378,266,4112,,237372,
216,,3145,378,924,1121,722,,1615,1530,,14,0,244,322,146,1142,1277,3131,2419,,3145,66,3079,,193750,
217,,3073,421,628,1298,726,,1289,1784,,61,22,119,468,145,1127,1131,2990,2258,,3073,113,2960,,146701,
218,,3109,531,1124,899,555,,1580,1529,,12,52,236,252,186,1168,1203,3045,2371,,3109,215,2894,,190634,
226,,2612,600,1291,593,128,,1506,1106,,0,9,65,326,73,982,1157,2603,2139,,2612,34,2578,,223375,
