Tract,Total,Below Poverty,Above Poverty
101.01,1457,213,1244
101.02,1338,146,1192
102.01,2254,143,2111
102.02,1742,105,1637
103,3615,157,3458
104.01,1609,208,1401
104.02,1856,84,1772
105,2356,337,2019
106,2498,296,2202
107.01,2206,695,1511
107.02,1161,126,1035
108,4381,474,3907
109.01,1558,127,1431
109.02,2123,169,1954
110.01,2162,212,1950
110.02,1880,208,1672
111.01,2202,199,2003
111.02,1353,239,1079
112,2567,190,2377
113,1998,480,1486
117,1217,192,981
118,1074,254,820
119.01,1769,129,1484
119.02,2343,190,2153
120.01,1561,195,1341
120.02,1656,270,1386
121,3138,392,2366
122.02,2159,673,1486
122.03,1495,731,764
122.04,2039,298,1741
123.01,1220,422,798
123.02,1871,418,1453
124.03,1360,334,1026
124.04,1884,562,1322
124.05,2713,283,2144
124.06,1235,263,972
125.02,2629,781,1665
125.03,2080,470,1530
125.04,521,119,402
126.01,1759,85,1674
126.02,2243,81,2162
127,3516,196,3320
128.01,1825,32,1793
128.02,1424,29,1395
129.01,2041,84,1955
129.02,3118,59,2992
130.01,1537,134,1403
130.02,2147,123,2024
131.01,3229,83,3080
131.02,2325,72,2215
132,3453,168,3265
133,3371,363,2987
134.01,1240,59,1149
134.02,1886,20,1866
135,2067,124,1943
151,2291,211,2062
152.01,1401,285,1116
152.02,1889,168,1643
153,1817,75,1635
154.01,2590,207,2383
154.02,1950,12,1938
155,3254,495,2723
156,2412,352,2060
157.01,4409,313,2350
157.02,2669,67,2600
158.01,2607,529,2078
158.02,3094,462,2632
159,3164,375,2729
160,1963,327,1636
161.01,1861,544,1317
161.02,1784,828,956
162,2748,291,2457
163,3316,382,2934
164,3444,273,3018
165,4300,589,3522
166.01,2592,318,2274
166.02,2113,154,1959
167,4753,212,4541
168.01,3361,250,3111
168.02,3042,325,2717
169,2479,207,2253
170,3641,143,3498
171.01,3144,163,2981
171.02,2656,163,2492
176.02,2559,396,2163
176.03,3175,545,2593
176.04,2128,269,1859
177,1462,68,1394
178.01,2999,652,2347
178.03,1319,180,1139
178.04,2914,284,2630
179.03,2004,940,1064
180,2748,558,1991
201.01,2493,344,2149
201.02,2224,520,1704
202.01,1644,222,1422
202.02,3288,580,2708
203,3076,235,2841
204.01,2716,87,2629
204.02,3664,329,3335
205,2301,96,2186
206.01,2602,176,2426
206.02,2211,178,2033
207.01,2422,166,2256
207.02,1593,175,1418
208.01,2528,278,2250
208.02,2100,217,1883
209,2938,392,2546
210,3210,250,2960
211,2859,93,2766
212,2289,48,2238
213,1861,105,1756
214,2962,226,2736
215,4378,266,4112
216,3145,66,3079
217,3073,113,2960
218,3109,215,2894
226,2612,34,2578
227.02,1623,128,1495
227.04,2695,163,2532
228.01,3611,437,3163
228.02,1898,277,1286
228.03,3254,287,2942
229.01,2467,338,2129
229.02,1654,138,1516
229.03,2181,98,2083
230.01,3861,712,3149
230.03,3038,236,2802
231.02,2077,383,1694
231.03,2027,584,1443
232,2570,201,2369
233,2556,313,2243
234,2783,567,2216
251,2565,261,2304
252,3688,395,3293
253,3445,164,3244
254.01,2533,91,2442
254.02,2658,135,2523
254.03,2710,111,2599
255.01,2514,126,2380
255.02,3403,259,3144
256,3643,156,3487
257.01,3663,395,3268
257.02,2869,263,2605
258,1572,117,1455
259,3327,277,3050
260.01,4334,486,3848
260.02,2721,247,2120
260.03,3651,180,3471
260.04,2508,172,2336
261,4755,239,4516
262.01,2784,266,2516
262.02,2624,96,2528
263.01,3994,661,3324
263.02,3701,359,3342
263.03,3433,232,3129
264.01,2374,242,2132
264.02,4034,331,3687
264.03,2915,279,2613
264.04,1595,138,1457
301.01,4161,545,3485
301.02,3682,302,2910
302.01,3107,300,2807
302.02,3010,185,2825
303.01,4821,244,4527
303.02,3021,221,2800
304,4166,154,4012
305,2885,271,1803
306,1900,63,1837
307,5225,181,5044
308,4482,218,4233
309,4937,257,4666
310,3023,176,2847
311,4825,149,4676
312.01,4741,544,4178
312.02,2142,156,1986
313.01,3193,302,2891
313.02,4131,489,3642
314.01,1472,95,1377
314.02,2918,186,2728
326.01,3656,473,3183
326.02,3542,154,3388
327,5526,236,5290
328.01,3355,169,3064
328.02,3842,405,3437
329.01,3917,103,3795
329.02,3156,233,2923
330.01,3201,186,2998
330.02,3244,116,3120
331,2869,103,2747
332.01,3764,546,867
332.03,2369,322,2047
332.04,3370,708,2662
351.01,3380,508,2872
351.02,3141,110,3031
352.01,4392,299,4093
352.02,3770,193,3577
353,5555,205,5350
354,5927,736,5191
401,3238,261,2937
402,4370,209,4161
426.01,3428,460,2968
426.02,2132,107,2025
427,4050,383,3667
428,1741,41,1700
451,3973,222,3694
452.01,2745,84,2650
452.02,2347,267,2080
476,3791,90,3701
477.01,3887,400,3487
477.02,2718,133,2585
478.01,3341,218,3122
478.02,2743,407,2336
479.02,2755,137,2618
479.03,3359,508,2851
479.04,2401,404,1991
601,2779,105,2674
604,1134,39,1095
605.02,2068,499,1569
607.01,4286,373,3820
607.02,1145,162,983
607.03,4057,228,3620
610,3244,160,3084
611.01,942,328,614
611.02,1237,364,873
612,2732,436,2296
614.01,2448,288,2160
614.02,1790,0,1790
615.01,1545,203,1342
615.02,1188,140,1048
615.03,2500,598,1902
615.04,900,0,777
615.05,586,0,586
615.06,3210,40,3170
615.07,655,37,618
615.08,1538,169,1369
9802,171,0,0
9803,19,0,19
9804.01,0,0,0
9805.01,99,94,5
9806,639,32,607
9809,234,47,187
9901,0,0,0
9902,0,0,0