Tract,Total,Male,Female
101.01,1457,720,737
101.02,1338,533,805
102.01,2254,1115,1139
102.02,1742,881,861
103,3615,1905,1710
104.01,1609,833,776
104.02,1856,1021,835
105,2356,1190,1166
106,2498,1484,1014
107.01,2206,740,1466
107.02,1161,346,815
108,4381,2278,2103
109.01,1558,613,945
109.02,2123,925,1198
110.01,2162,983,1179
110.02,1880,955,925
111.01,2202,1096,1106
111.02,1353,747,606
112,2567,1322,1245
113,1998,909,1089
117,1217,666,551
118,1074,476,598
119.01,1769,1036,733
119.02,2343,1084,1259
120.01,1561,1019,542
120.02,1656,1057,599
121,3138,1654,1484
122.02,2159,1404,755
122.03,1495,1085,410
122.04,2039,1062,977
123.01,1220,690,530
123.02,1871,1020,851
124.03,1360,739,621
124.04,1884,1200,684
124.05,2713,1552,1161
124.06,1235,595,640
125.02,2629,1712,917
125.03,2080,1140,940
125.04,521,264,257
126.01,1759,712,1047
126.02,2243,978,1265
127,3516,1660,1856
128.01,1825,751,1074
128.02,1424,860,564
129.01,2041,960,1081
129.02,3118,1260,1858
130.01,1537,791,746
130.02,2147,820,1327
131.01,3229,1467,1762
131.02,2325,1005,1320
132,3453,1822,1631
133,3371,1529,1842
134.01,1240,467,773
134.02,1886,861,1025
135,2067,915,1152
151,2291,1011,1280
152.01,1401,701,700
152.02,1889,1075,814
153,1817,1043,774
154.01,2590,1346,1244
154.02,1950,795,1155
155,3254,1488,1766
156,2412,1141,1271
157.01,4409,1835,2574
157.02,2669,1473,1196
158.01,2607,1308,1299
158.02,3094,1709,1385
159,3164,1689,1475
160,1963,972,991
161.01,1861,795,1066
161.02,1784,800,984
162,2748,1742,1006
163,3316,1662,1654
164,3444,1759,1685
165,4300,2003,2297
166.01,2592,1571,1021
166.02,2113,1247,866
167,4753,2779,1974
168.01,3361,2062,1299
168.02,3042,1502,1540
169,2479,1613,866
170,3641,2347,1294
171.01,3144,1681,1463
171.02,2656,1230,1426
176.02,2559,1698,861
176.03,3175,1811,1364
176.04,2128,1579,549
177,1462,854,608
178.01,2999,1426,1573
178.03,1319,961,358
178.04,2914,1592,1322
179.03,2004,1115,889
180,2748,1739,1009
201.01,2493,1441,1052
201.02,2224,1524,700
202.01,1644,947,697
202.02,3288,1839,1449
203,3076,1989,1087
204.01,2716,1689,1027
204.02,3664,2316,1348
205,2301,1631,670
206.01,2602,1813,789
206.02,2211,1263,948
207.01,2422,1177,1245
207.02,1593,813,780
208.01,2528,1319,1209
208.02,2100,1434,666
209,2938,1382,1556
210,3210,1695,1515
211,2859,1539,1320
212,2289,1242,1047
213,1861,1139,722
214,2962,1580,1382
215,4378,2099,2279
216,3145,1615,1530
217,3073,1289,1784
218,3109,1580,1529
226,2612,1506,1106
227.02,1623,806,817
227.04,2695,1531,1164
228.01,3611,1846,1765
228.02,1898,963,935
228.03,3254,1658,1596
229.01,2467,1181,1286
229.02,1654,924,730
229.03,2181,1036,1145
230.01,3861,2030,1831
230.03,3038,1493,1545
231.02,2077,922,1155
231.03,2027,787,1240
232,2570,1068,1502
233,2556,1257,1299
234,2783,1240,1543
251,2565,1208,1357
252,3688,1915,1773
253,3445,1807,1638
254.01,2533,1267,1266
254.02,2658,1290,1368
254.03,2710,1346,1364
255.01,2514,1225,1289
255.02,3403,1821,1582
256,3643,1942,1701
257.01,3663,2066,1597
257.02,2869,1308,1561
258,1572,677,895
259,3327,1635,1692
260.01,4334,2287,2047
260.02,2721,1199,1522
260.03,3651,1686,1965
260.04,2508,1262,1246
261,4755,2354,2401
262.01,2784,1352,1432
262.02,2624,1147,1477
263.01,3994,2036,1958
263.02,3701,1704,1997
263.03,3433,1702,1731
264.01,2374,1262,1112
264.02,4034,2242,1792
264.03,2915,1422,1493
264.04,1595,693,902
301.01,4161,1499,2662
301.02,3682,1805,1877
302.01,3107,1413,1694
302.02,3010,1754,1256
303.01,4821,2346,2475
303.02,3021,1581,1440
304,4166,1996,2170
305,2885,1495,1390
306,1900,941,959
307,5225,2757,2468
308,4482,2179,2303
309,4937,2281,2656
310,3023,1545,1478
311,4825,2386,2439
312.01,4741,2228,2513
312.02,2142,1058,1084
313.01,3193,1756,1437
313.02,4131,2085,2046
314.01,1472,739,733
314.02,2918,1385,1533
326.01,3656,1789,1867
326.02,3542,1755,1787
327,5526,2696,2830
328.01,3355,1659,1696
328.02,3842,1754,2088
329.01,3917,1873,2044
329.02,3156,1598,1558
330.01,3201,1778,1423
330.02,3244,1724,1520
331,2869,1399,1470
332.01,3764,1458,2306
332.03,2369,1031,1338
332.04,3370,1864,1506
351.01,3380,1796,1584
351.02,3141,1475,1666
352.01,4392,2277,2115
352.02,3770,2093,1677
353,5555,2748,2807
354,5927,2916,3011
401,3238,1515,1723
402,4370,1914,2456
426.01,3428,1744,1684
426.02,2132,1029,1103
427,4050,1942,2108
428,1741,836,905
451,3973,2048,1925
452.01,2745,1323,1422
452.02,2347,1237,1110
476,3791,2000,1791
477.01,3887,1785,2102
477.02,2718,1270,1448
478.01,3341,1689,1652
478.02,2743,1221,1522
479.02,2755,1487,1268
479.03,3359,1395,1964
479.04,2401,1025,1376
601,2779,1152,1627
604,1134,579,555
605.02,2068,995,1073
607.01,4286,1987,2299
607.02,1145,547,598
607.03,4057,1914,2143
610,3244,1614,1630
611.01,942,396,546
611.02,1237,583,654
612,2732,1356,1376
614.01,2448,1194,1254
614.02,1790,737,1053
615.01,1545,817,728
615.02,1188,549,639
615.03,2500,1642,858
615.04,900,553,347
615.05,586,343,243
615.06,3210,1709,1501
615.07,655,278,377
615.08,1538,840,698
9802,171,171,0
9803,19,10,9
9804.01,0,0,0
9805.01,99,0,99
9806,639,307,332
9809,234,165,69
9901,0,0,0
9902,0,0,0
